# key	pt-PT	en	es	fr	de	zh-Hans	ar	ja
literal.mission	Missão / ambiente…	Mission / environment…	Misión / entorno…	Mission / environnement…	Mission / Umgebung…	任务 / 环境…	المهمة / البيئة…	ミッション / 環境…
literal.no_file	Ainda sem ficheiro · Ctrl+S para guardar	No file yet · Ctrl+S to save	Sin archivo aún · Ctrl+S para guardar	Pas encore de fichier · Ctrl+S pour enregistrer	Noch keine Datei · Strg+S zum Speichern	尚无文件 · Ctrl+S 保存	لا يوجد ملف بعد · Ctrl+S للحفظ	ファイル未作成 · Ctrl+S で保存
literal.properties	PROPRIEDADES	PROPERTIES	PROPIEDADES	PROPRIÉTÉS	EIGENSCHAFTEN	属性	الخصائص	プロパティ
literal.delete	Eliminar [DEL]	Delete [DEL]	Eliminar [DEL]	Supprimer [SUPPR]	Löschen [ENTF]	删除 [DEL]	حذف [DEL]	削除 [DEL]
literal.destination	DESTINO	DESTINATION	DESTINO	DESTINATION	ZIEL	目的地	الوجهة	行き先
literal.close	Fechar	Close	Cerrar	Fermer	Schließen	关闭	إغلاق	閉じる
literal.cancel	Cancelar	Cancel	Cancelar	Annuler	Abbrechen	取消	إلغاء	キャンセル
literal.confirm	Confirmar	Confirm	Confirmar	Confirmer	Bestätigen	确认	تأكيد	確認
literal.back	Voltar	Back	Volver	Retour	Zurück	返回	رجوع	戻る
literal.view	Ver	View	Ver	Voir	Anzeigen	查看	عرض	見る
literal.view_solution	Ver solução	View solution	Ver solución	Voir la solution	Lösung anzeigen	查看解法	عرض الحل	解法を見る
literal.local_maps	MAPAS LOCAIS — clica para preencher o caminho	LOCAL MAPS — click to fill in the path	MAPAS LOCALES — haz clic para completar la ruta	CARTES LOCALES — clique pour remplir le chemin	LOKALE KARTEN — Pfad durch Klicken einsetzen	本地地图 — 点击填入路径	الخرائط المحلية — انقر لإدخال المسار	ローカルマップ — クリックしてパスを入力
literal.type_value	Escreve o valor ou caminho e prime Enter. Ctrl+A seleciona tudo.	Type a value or path and press Enter. Ctrl+A selects all.	Escribe el valor o la ruta y pulsa Enter. Ctrl+A selecciona todo.	Saisis une valeur ou un chemin puis appuie sur Entrée. Ctrl+A sélectionne tout.	Wert oder Pfad eingeben und Eingabe drücken. Strg+A wählt alles.	输入值或路径后按回车。Ctrl+A 全选。	اكتب القيمة أو المسار واضغط Enter. يحدد Ctrl+A الكل.	値かパスを入力して Enter。Ctrl+A ですべて選択。
literal.scroll_results	Roda para percorrer os resultados.	Scroll to browse results.	Desplázate para recorrer los resultados.	Fais défiler pour parcourir les résultats.	Scrollen, um Ergebnisse durchzugehen.	滚动浏览结果。	مرّر لتصفح النتائج.	スクロールして結果を確認。
literal.scroll_list	Roda sobre a lista: percorrer	Scroll over list to browse	Desplázate sobre la lista	Fais défiler la liste	Über Liste scrollen	在列表上滚动	مرّر فوق القائمة	リスト上でスクロール
literal.scroll_close	Roda: percorrer · Escape: fechar	Wheel: scroll · Esc: close	Rueda: desplazar · Escape: cerrar	Molette : défiler · Échap : fermer	Rad: scrollen · Esc: schließen	滚轮：滚动 · Esc：关闭	العجلة: تمرير · Esc: إغلاق	ホイール：スクロール · Esc：閉じる
literal.select	V  Selecionar	V  Select	V  Seleccionar	V  Sélectionner	V  Auswählen	V  选择	V  اختيار	V  選択
literal.solid	1  Chão sólido	1  Solid ground	1  Suelo sólido	1  Sol solide	1  Fester Boden	1  实体地面	1  أرض صلبة	1  固い地面
literal.platform	2  Plataforma	2  Platform	2  Plataforma	2  Plateforme	2  Plattform	2  平台	2  منصة	2  足場
literal.eraser	3  Borracha	3  Eraser	3  Borrador	3  Gomme	3  Radierer	3  橡皮擦	3  ممحاة	3  消しゴム
literal.spawn	4  Ponto inicial	4  Start point	4  Punto inicial	4  Point de départ	4  Startpunkt	4  起点	4  نقطة البداية	4  開始地点
literal.crystal	5  Cristal	5  Crystal	5  Cristal	5  Cristal	5  Kristall	5  水晶	5  بلورة	5  クリスタル
literal.checkpoint	6  Checkpoint	6  Checkpoint	6  Punto de control	6  Point de contrôle	6  Kontrollpunkt	6  检查点	6  نقطة الحفظ	6  チェックポイント
literal.hazard	7  Perigo	7  Hazard	7  Peligro	7  Danger	7  Gefahr	7  危险	7  خطر	7  危険
literal.exit	8  Saída	8  Exit	8  Salida	8  Sortie	8  Ausgang	8  出口	8  المخرج	8  出口
literal.start_hint	Começa por desenhar. F5 testa o mapa sem o guardar.	Start drawing. F5 tests the map without saving.	Empieza a dibujar. F5 prueba el mapa sin guardarlo.	Commence à dessiner. F5 teste la carte sans l'enregistrer.	Beginne zu zeichnen. F5 testet die Karte ohne Speichern.	开始绘制。F5 可在不保存的情况下测试地图。	ابدأ بالرسم. يختبر F5 الخريطة دون حفظها.	描画を始めよう。F5 で保存せずにマップをテストできます。
literal.draw_hint	Arrasta para pintar. Botão direito apaga.	Drag to paint. Right-click to erase.	Arrastra para pintar. Clic derecho para borrar.	Glisse pour peindre. Clic droit pour effacer.	Ziehen zum Zeichnen. Rechtsklick zum Löschen.	拖动绘制。右键擦除。	اسحب للرسم. انقر بزر الفأرة الأيمن للمسح.	ドラッグで描画。右クリックで消去。
literal.zoom_hint	Roda: zoom	Wheel: zoom	Rueda: zoom	Molette : zoom	Rad: Zoom	滚轮：缩放	العجلة: تكبير	ホイール：ズーム
literal.pan_hint	Botão central: mover	Middle button: pan	Botón central: mover	Bouton central : déplacer	Mittlere Taste: bewegen	中键：平移	الزر الأوسط: تحريك	中ボタン：移動
literal.alt_hint	Alt: sem grelha	Alt: hide grid	Alt: sin cuadrícula	Alt : sans grille	Alt: ohne Raster	Alt：隐藏网格	Alt: إخفاء الشبكة	Alt：グリッドなし
literal.classic	Clássico	Classic	Clásico	Classique	Klassisch	经典	كلاسيكي	クラシック
literal.precision	Precisão	Precision	Precisión	Précision	Präzision	精准	دقة	精密
literal.rooms_profile	Salas	Rooms	Salas	Salles	Räume	房间	الغرف	部屋
literal.combat	Combate	Combat	Combate	Combat	Kampf	战斗	قتال	戦闘
literal.adventure	Aventura	Adventure	Aventura	Aventure	Abenteuer	冒险	مغامرة	アドベンチャー
literal.first_level	O meu primeiro nível	My first level	Mi primer nivel	Mon premier niveau	Mein erstes Level	我的第一关	مستواي الأول	最初のレベル
literal.aurora_station	Estação Aurora	Aurora Station	Estación Aurora	Station Aurora	Aurora-Station	极光空间站	محطة أورورا	オーロラ・ステーション
literal.ascent	Ascensão	Ascent	Ascenso	Ascension	Aufstieg	攀登	الصعود	上昇
literal.outpost	Posto de vigia	Watch Post	Puesto de vigilancia	Poste de guet	Wachposten	瞭望哨	نقطة المراقبة	監視所
literal.ramp_up	U  Rampa /	U  Ramp /	U  Rampa /	U  Rampe /	U  Rampe /	U  斜坡 /	U  منحدر /	U  坂 /
literal.ramp_down	B  Rampa \	B  Ramp \	B  Rampa \	B  Rampe \	B  Rampe \	B  斜坡 \	B  منحدر \	B  坂 \
literal.ramp_up_short	/ U Rampa	/ U Ramp	/ U Rampa	/ U Rampe	/ U Rampe	/ U 斜坡	/ U منحدر	/ U 坂
literal.ramp_down_short	\ B Rampa	\ B Ramp	\ B Rampa	\ B Rampe	\ B Rampe	\ B 斜坡	\ B منحدر	\ B 坂
literal.campaign_title	ATELIER / CAMPANHAS	WORKSHOP / CAMPAIGNS	TALLER / CAMPAÑAS	ATELIER / CAMPAGNES	WERKSTATT / KAMPAGNEN	工坊 / 战役	الورشة / الحملات	エディター / キャンペーン
literal.rename	Mudar nome	Rename	Cambiar nombre	Renommer	Umbenennen	重命名	تغيير الاسم	名前を変更
literal.stage_help	A primeira etapa inicia a campanha. Roda para percorrer.	The first stage starts the campaign. Scroll to browse.	La primera etapa inicia la campaña. Desplázate para recorrerla.	La première étape lance la campagne. Fais défiler la liste.	Die erste Etappe startet die Kampagne. Zum Blättern scrollen.	首个关卡为战役起点。滚动浏览。	تبدأ الحملة بالمرحلة الأولى. مرّر للتصفح.	最初のステージから開始します。スクロールして確認。
literal.start	 INÍCIO	 START	 INICIO	 DÉBUT	 START	 起点	 بداية	 開始
literal.error	ERRO	ERROR	ERROR	ERREUR	FEHLER	错误	خطأ	エラー
literal.warning	AVISO	WARNING	AVISO	AVERTISSEMENT	WARNUNG	警告	تحذير	警告
literal.add_map	Adicionar mapa	Add map	Añadir mapa	Ajouter une carte	Karte hinzufügen	添加地图	إضافة خريطة	マップを追加
literal.up	Subir	Move up	Subir	Monter	Nach oben	上移	تحريك لأعلى	上へ
literal.down	Descer	Move down	Bajar	Descendre	Nach unten	下移	تحريك لأسفل	下へ
literal.start_here	Começar aqui	Start here	Empezar aquí	Commencer ici	Hier starten	从这里开始	ابدأ هنا	ここから開始
literal.change_map	Trocar mapa	Change map	Cambiar mapa	Changer de carte	Karte wechseln	更换地图	تغيير الخريطة	マップを変更
literal.change_id	Mudar ID	Change ID	Cambiar ID	Changer l'ID	ID ändern	更改 ID	تغيير المعرّف	ID を変更
literal.edit_map	Editar mapa	Edit map	Editar mapa	Modifier la carte	Karte bearbeiten	编辑地图	تحرير الخريطة	マップを編集
literal.remove_stage	Retirar etapa	Remove stage	Quitar etapa	Retirer l'étape	Etappe entfernen	移除关卡	إزالة المرحلة	ステージを削除
literal.selected_map	MAPA SELECIONADO	SELECTED MAP	MAPA SELECCIONADO	CARTE SÉLECTIONNÉE	AUSGEWÄHLTE KARTE	已选地图	الخريطة المحددة	選択したマップ
literal.save_as_help	Guardar como cria uma campanha que referencia os mesmos mapas. Editar mapa altera o ficheiro partilhado; usa Guardar como no editor do mapa e Trocar mapa aqui para criar uma cópia.	Save as creates a campaign that uses the same maps. Editing a map changes the shared file; use Save as in the map editor and Change map here to make a copy.	Guardar como crea una campaña que usa los mismos mapas. Editar un mapa cambia el archivo compartido; usa Guardar como en el editor del mapa y Cambiar mapa aquí para crear una copia.	Enregistrer sous crée une campagne utilisant les mêmes cartes. Modifier une carte change le fichier partagé ; utilise Enregistrer sous dans l'éditeur puis Changer de carte ici pour créer une copie.	Speichern unter erstellt eine Kampagne mit denselben Karten. Das Bearbeiten einer Karte ändert die gemeinsame Datei. Für eine Kopie im Karteneditor Speichern unter und hier Karte wechseln nutzen.	另存为会创建引用相同地图的战役。编辑地图会修改共享文件；若要复制，请在地图编辑器中另存为，再在这里更换地图。	ينشئ «حفظ باسم» حملة تستخدم الخرائط نفسها. يغيّر تحرير الخريطة الملف المشترك؛ لإنشاء نسخة استخدم «حفظ باسم» في محرر الخرائط ثم «تغيير الخريطة» هنا.	「名前を付けて保存」は同じマップを参照するキャンペーンを作成します。マップ編集は共有ファイルに反映されます。複製するにはマップ側で別名保存し、ここでマップを変更してください。
literal.test_all	Testar tudo [F5]	Test all [F5]	Probar todo [F5]	Tout tester [F5]	Alle testen [F5]	全部测试 [F5]	اختبار الكل [F5]	すべてテスト [F5]
literal.test_from	Testar daqui [F6]	Test from here [F6]	Probar desde aquí [F6]	Tester depuis ici [F6]	Ab hier testen [F6]	从这里测试 [F6]	الاختبار من هنا [F6]	ここからテスト [F6]
literal.campaign_status	Escolhe etapas, organiza a sequência e testa com F5.	Choose stages, arrange their order and test with F5.	Elige etapas, ordénalas y prueba con F5.	Choisis les étapes, organise leur ordre et teste avec F5.	Etappen wählen, Reihenfolge festlegen und mit F5 testen.	选择关卡、调整顺序，然后按 F5 测试。	اختر المراحل ورتّبها واختبر باستخدام F5.	ステージを選んで順番を整え、F5 でテストしよう。
literal.map_inspector	Seleciona um objeto no mapa ou na lista para ajustar posição e tamanho.	Select an object on the map or in the list to adjust its position and size.	Selecciona un objeto en el mapa o la lista para ajustar su posición y tamaño.	Sélectionne un objet sur la carte ou dans la liste pour régler sa position et sa taille.	Objekt auf der Karte oder in der Liste wählen, um Position und Größe anzupassen.	选择地图或列表中的对象以调整位置和尺寸。	حدد عنصرًا في الخريطة أو القائمة لتعديل موضعه وحجمه.	マップかリストでオブジェクトを選ぶと位置とサイズを調整できます。
literal.body_size	O corpo do jogador mede 24×30. W/H dos objetos definem a área de interação.	The player body is 24×30. Object W/H define the interaction area.	El cuerpo del jugador mide 24×30. La anchura y altura de los objetos definen el área de interacción.	Le corps du joueur mesure 24×30. La largeur et la hauteur des objets définissent la zone d'interaction.	Der Spieler ist 24×30 groß. Breite/Höhe der Objekte bestimmen den Interaktionsbereich.	玩家身体尺寸为 24×30。对象的宽高决定交互区域。	أبعاد اللاعب 24×30. يحدد عرض العنصر وارتفاعه منطقة التفاعل.	プレイヤーの当たり判定は 24×30。オブジェクトの幅と高さが接触範囲を決めます。
editor.stage_count	ETAPAS · {count} / 32	STAGES · {count} / 32	ETAPAS · {count} / 32	ÉTAPES · {count} / 32	ETAPPEN · {count} / 32	关卡 · {count} / 32	المراحل · {count} / 32	ステージ · {count} / 32
editor.object_count	OBJETOS ({count})	OBJECTS ({count})	OBJETOS ({count})	OBJETS ({count})	OBJEKTE ({count})	对象（{count}）	العناصر ({count})	オブジェクト（{count}）
editor.issue_count	{errors} erros / {warnings} avisos	{errors} errors / {warnings} warnings	{errors} errores / {warnings} avisos	{errors} erreurs / {warnings} avertissements	{errors} Fehler / {warnings} Warnungen	{errors} 个错误 / {warnings} 个警告	{errors} أخطاء / {warnings} تحذيرات	エラー {errors} 件 / 警告 {warnings} 件
editor.profile	PERFIL: {name}	PROFILE: {name}	PERFIL: {name}	PROFIL : {name}	PROFIL: {name}	类型：{name}	النوع: {name}	プロフィール：{name}
editor.quantity_limit	Quantidade: {count} (máximo {limit})	Quantity: {count} (maximum {limit})	Cantidad: {count} (máximo {limit})	Quantité : {count} (maximum {limit})	Menge: {count} (maximal {limit})	数量：{count}（最多 {limit}）	الكمية: {count} (الحد الأقصى {limit})	数量：{count}（最大 {limit}）
literal.issue_spawn	É necessário exatamente um ponto inicial (spawn).	Exactly one start point (spawn) is required.	Se necesita exactamente un punto inicial (spawn).	Il faut exactement un point de départ (spawn).	Genau ein Startpunkt (spawn) ist erforderlich.	必须恰好有一个起点（spawn）。	يلزم وجود نقطة بداية واحدة فقط (spawn).	開始地点（spawn）は一つだけ必要です。
literal.issue_goal	Falta uma saída (goal) para concluir o nível.	An exit (goal) is required to complete the level.	Falta una salida (goal) para completar el nivel.	Il manque une sortie (goal) pour terminer le niveau.	Zum Abschluss des Levels fehlt ein Ausgang (goal).	关卡需要一个出口（goal）。	يلزم وجود مخرج (goal) لإنهاء المستوى.	レベルをクリアするには出口（goal）が必要です。
literal.issue_size	As salas deste perfil devem medir 960×576 unidades.	Rooms in this profile must be 960×576 units.	Las salas de este perfil deben medir 960×576 unidades.	Les salles de ce profil doivent mesurer 960×576 unités.	Räume dieses Profils müssen 960×576 Einheiten groß sein.	此类型的房间必须为 960×576 单位。	يجب أن تبلغ أبعاد غرف هذا النوع 960×576 وحدة.	この種類の部屋は 960×576 単位である必要があります。
literal.issue_player_id	O ID player está reservado ao jogador.	The ID player is reserved for the player.	El ID player está reservado para el jugador.	L'identifiant player est réservé au joueur.	Die ID player ist für die Spielfigur reserviert.	ID「player」已保留给玩家。	المعرّف player محجوز للاعب.	ID「player」はプレイヤー専用です。
literal.issue_bounds	objeto fora dos limites.	object is out of bounds.	objeto fuera de los límites.	objet hors limites.	Objekt liegt außerhalb der Grenzen.	对象超出边界。	العنصر خارج الحدود.	オブジェクトが範囲外です。
literal.issue_no_space	corpo 24×30 sem espaço livre.	24×30 body has no free space.	cuerpo 24×30 sin espacio libre.	aucun espace libre pour un corps de 24×30.	Kein Platz für den Körper mit 24×30.	24×30 的角色没有可用空间。	لا توجد مساحة حرة لجسم بأبعاد 24×30.	24×30 の本体を置く空きがありません。
literal.issue_damage_respawn	reaparecimento numa zona de dano.	respawn point is inside a damage zone.	reaparición en una zona de daño.	réapparition dans une zone dangereuse.	Wiedereinstieg liegt in einer Schadenszone.	重生点位于伤害区域。	نقطة الظهور داخل منطقة ضرر.	復活地点がダメージゾーン内にあります。
literal.issue_unsupported	começa no ar, sem apoio imediato.	starts in the air without immediate support.	empieza en el aire sin apoyo inmediato.	démarre en l'air sans appui immédiat.	Beginnt in der Luft ohne unmittelbaren Halt.	起点悬空，没有即时支撑。	تبدأ في الهواء دون دعم مباشر.	開始位置が空中で、すぐ下に足場がありません。
literal.issue_solid_target	totalmente bloqueado por sólidos; os projéteis não conseguem atingir este alvo.	fully blocked by solid tiles; projectiles cannot hit this target.	completamente bloqueado por sólidos; los proyectiles no alcanzan el objetivo.	entièrement bloqué par des solides ; les projectiles ne peuvent pas toucher cette cible.	Vollständig blockiert; Geschosse können dieses Ziel nicht treffen.	被实体完全遮挡；投射物无法击中此目标。	محجوب كليًا بالعوائق؛ لا يمكن للمقذوفات إصابة هذا الهدف.	固い地形に完全に遮られ、弾が標的に届きません。
literal.issue_blocked_pickup	totalmente bloqueado por sólidos ou perigos; não pode ser recolhido/ativado em segurança.	fully blocked by solids or hazards; cannot be collected or activated safely.	completamente bloqueado por sólidos o peligros; no se puede recoger o activar con seguridad.	entièrement bloqué par des solides ou dangers ; impossible à récupérer ou activer en sécurité.	Durch Hindernisse oder Gefahren vollständig blockiert; nicht sicher erreichbar.	被实体或危险物完全阻挡；无法安全收集或激活。	محجوب كليًا بالعوائق أو المخاطر؛ لا يمكن جمعه أو تفعيله بأمان.	地形や危険物に完全に遮られ、安全に取得・起動できません。
literal.issue_tile_overlap	sobrepõe parcialmente um tile sólido.	partly overlaps a solid tile.	se solapa parcialmente con una casilla sólida.	chevauche partiellement une tuile solide.	Überlappt teilweise eine feste Kachel.	与实体图块部分重叠。	يتداخل جزئيًا مع بلاطة صلبة.	固いタイルと一部重なっています。
literal.issue_hazard_overlap	sobrepõe parcialmente uma zona de dano.	partly overlaps a damage zone.	se solapa parcialmente con una zona de daño.	chevauche partiellement une zone dangereuse.	Überlappt teilweise eine Schadenszone.	与伤害区域部分重叠。	يتداخل جزئيًا مع منطقة ضرر.	ダメージゾーンと一部重なっています。
literal.issue_platform_end	destino da plataforma fora da sala.	platform destination is outside the room.	destino de la plataforma fuera de la sala.	destination de la plateforme hors de la salle.	Plattformziel liegt außerhalb des Raums.	平台终点超出房间。	وجهة المنصة خارج الغرفة.	足場の移動先が部屋の外です。
literal.issue_platform_path	percurso da plataforma vazio.	platform path is empty.	trayectoria de la plataforma vacía.	trajectoire de la plateforme vide.	Plattformpfad ist leer.	平台路径为空。	مسار المنصة فارغ.	足場の移動経路が空です。
literal.issue_platform_solid	área do percurso cruza sólidos; testa o transporte e esmagamento.	platform path crosses solid tiles; test carrying and crushing.	la trayectoria cruza sólidos; prueba el transporte y aplastamiento.	la trajectoire traverse des solides ; teste le transport et l'écrasement.	Plattformpfad kreuzt feste Kacheln; Transport und Quetschen testen.	平台路径穿过实体；请测试运输和挤压。	يعبر مسار المنصة عوائق صلبة؛ اختبر النقل والسحق.	足場の経路が固い地形と交差します。運搬と挟み込みをテストしてください。
literal.issue_door_area	área de interação da porta bloqueada.	door interaction area is blocked.	área de interacción de la puerta bloqueada.	zone d'interaction de la porte bloquée.	Tür-Interaktionsbereich ist blockiert.	门的交互区域被阻挡。	منطقة التفاعل مع الباب محجوبة.	扉の操作範囲が塞がっています。
literal.issue_switch_area	área de ativação do interruptor bloqueada.	switch activation area is blocked.	área de activación del interruptor bloqueada.	zone d'activation de l'interrupteur bloquée.	Aktivierungsbereich des Schalters ist blockiert.	开关的激活区域被阻挡。	منطقة تفعيل المفتاح محجوبة.	スイッチの起動範囲が塞がっています。
literal.issue_goal_overlap	porta/saída sobreposta a outra porta/saída.	door/exit overlaps another door/exit.	puerta/salida solapada con otra puerta/salida.	porte/sortie chevauche une autre porte/sortie.	Tür/Ausgang überlappt eine andere Tür/einen anderen Ausgang.	门/出口与另一扇门/出口重叠。	يتداخل الباب/المخرج مع باب/مخرج آخر.	扉・出口が別の扉・出口と重なっています。
literal.issue_campaign_name	A campanha precisa de nome.	The campaign needs a name.	La campaña necesita un nombre.	La campagne doit avoir un nom.	Die Kampagne braucht einen Namen.	战役需要名称。	تحتاج الحملة إلى اسم.	キャンペーン名が必要です。
literal.issue_campaign_stages	A campanha precisa de 1 a 32 etapas.	The campaign needs 1 to 32 stages.	La campaña necesita de 1 a 32 etapas.	La campagne doit compter de 1 à 32 étapes.	Die Kampagne braucht 1 bis 32 Etappen.	战役需要 1 到 32 个关卡。	تحتاج الحملة إلى 1 إلى 32 مرحلة.	キャンペーンには 1～32 ステージが必要です。
literal.issue_id	ID vazio ou repetido.	ID is empty or duplicated.	ID vacío o repetido.	Identifiant vide ou dupliqué.	ID ist leer oder doppelt vergeben.	ID 为空或重复。	المعرّف فارغ أو مكرر.	ID が空か重複しています。
literal.issue_profile	Perfil incompatível: usa Combate ou Aventura.	Unsupported profile: use Combat or Adventure.	Perfil incompatible: usa Combate o Aventura.	Profil incompatible : utilise Combat ou Aventure.	Nicht unterstütztes Profil: Kampf oder Abenteuer verwenden.	类型不兼容：请使用战斗或冒险。	النوع غير متوافق: استخدم القتال أو المغامرة.	対応していない種類です。戦闘かアドベンチャーを使用してください。
prefix.duplicate_id	ID repetido: 	Duplicate ID: 	ID repetido: 	Identifiant dupliqué : 	Doppelte ID: 	重复 ID：	معرّف مكرر: 	重複する ID：
prefix.need_object	Este modo precisa de pelo menos um objeto 	This mode needs at least one object of type 	Este modo necesita al menos un objeto de tipo 	Ce mode exige au moins un objet de type 	Dieser Modus braucht mindestens ein Objekt vom Typ 	此模式至少需要一个类型为 	يحتاج هذا النمط إلى عنصر واحد على الأقل من النوع 	このモードには種類 
literal.choose_save_path	Escolhe um caminho para guardar.	Choose a path to save.	Elige una ruta para guardar.	Choisis un chemin pour enregistrer.	Speicherpfad wählen.	选择保存路径。	اختر مسارًا للحفظ.	保存先を選択してください。
literal.json_extension	O ficheiro deve ter extensão .json.	File must have a .json extension.	El archivo debe tener extensión .json.	Le fichier doit avoir l'extension .json.	Datei muss die Endung .json haben.	文件扩展名必须为 .json。	يجب أن ينتهي اسم الملف بـ .json.	ファイルの拡張子は .json にしてください。
literal.signal	5  Sinal	5  Signal	5  Señal	5  Signal	5  Signal	5  信号	5  إشارة	5  信号
literal.ladder	L  Escada	L  Ladder	L  Escalera	L  Échelle	L  Leiter	L  梯子	L  سلّم	L  はしご
literal.target	5  Alvo	5  Target	5  Objetivo	5  Cible	5  Ziel	5  目标	5  هدف	5  標的
literal.pickup	I  Recolhível	I  Pickup	I  Recogible	I  Objet	I  Sammelobjekt	I  可拾取物	I  عنصر قابل للجمع	I  アイテム
literal.turret	T  Torreta	T  Turret	T  Torreta	T  Tourelle	T  Geschütz	T  炮塔	T  برج مدفع	T  砲台
literal.entry	I  Entrada	I  Entry	I  Entrada	I  Entrée	I  Eingang	I  入口	I  مدخل	I  入口
literal.moving	M  Plat. móvel	M  Moving platform	M  Plat. móvil	M  Plateforme mobile	M  Bewegliche Plattform	M  移动平台	M  منصة متحركة	M  動く足場
literal.door	O  Porta	O  Door	O  Puerta	O  Porte	O  Tür	O  门	O  باب	O  扉
literal.switch	T  Interruptor	T  Switch	T  Interruptor	T  Interrupteur	T  Schalter	T  开关	T  مفتاح	T  スイッチ
literal.fuel	0  Combustível	0  Fuel	0  Combustible	0  Carburant	0  Treibstoff	0  燃料	0  وقود	0  燃料
literal.part	9  Peça	9  Part	9  Pieza	9  Pièce	9  Teil	9  部件	9  قطعة	9  部品
literal.rocket	O  Foguetão	O  Rocket	O  Cohete	O  Fusée	O  Rakete	O  火箭	O  صاروخ	O  ロケット
literal.guardian	Q  Guardião	Q  Guardian	Q  Guardián	Q  Gardien	Q  Wächter	Q  守卫	Q  حارس	Q  守護者
literal.crate	Caixa (2 t)	Crate (2 t)	Caja (2 t)	Caisse (2 t)	Kiste (2 t)	箱子（2 吨）	صندوق (2 طن)	箱（2 t）
literal.plate	Placa de peso	Pressure plate	Placa de peso	Plaque de pression	Druckplatte	压力板	لوح ضغط	重量プレート
literal.cargo_door	Porta de carga	Cargo gate	Puerta de carga	Porte de fret	Frachtsperre	货运门	باب الشحن	貨物ゲート
literal.water	Água / corrente	Water / current	Agua / corriente	Eau / courant	Wasser / Strömung	水 / 水流	ماء / تيار	水 / 水流
literal.air	Bolsa de ar	Air pocket	Bolsa de aire	Poche d'air	Luftblase	空气泡	جيب هوائي	空気だまり
literal.double_jump	Salto duplo	Double jump	Salto doble	Double saut	Doppelsprung	二段跳	قفزة مزدوجة	二段ジャンプ
literal.ability_door	Porta de capacidade	Ability gate	Puerta de habilidad	Porte de capacité	Fähigkeitstor	能力门	باب القدرة	能力ゲート
literal.crystal_alt	C  Cristal	C  Crystal	C  Cristal	C  Cristal	C  Kristall	C  水晶	C  بلورة	C  クリスタル
literal.map_open	Mapa aberto.	Map opened.	Mapa abierto.	Carte ouverte.	Karte geöffnet.	地图已打开。	فُتحت الخريطة.	マップを開きました。
literal.map_new	Novo mapa. Escolhe Guardar para criar um ficheiro.	New map. Choose Save to create a file.	Mapa nuevo. Elige Guardar para crear un archivo.	Nouvelle carte. Choisis Enregistrer pour créer un fichier.	Neue Karte. Speichern wählen, um eine Datei anzulegen.	新地图。选择“保存”以创建文件。	خريطة جديدة. اختر «حفظ» لإنشاء ملف.	新規マップです。「保存」でファイルを作成してください。
literal.no_preview	O anfitrião deste editor não fornece teste para este perfil.	This editor host does not provide a test for this profile.	Este editor no ofrece pruebas para este perfil.	Cet éditeur ne permet pas de tester ce profil.	Dieser Editor bietet für dieses Profil keinen Test.	此编辑器不提供该类型的测试。	لا يوفر هذا المحرر اختبارًا لهذا النوع.	このエディターでは、この種類のテストを利用できません。
literal.precision_name	O meu percurso de precisão	My precision course	Mi recorrido de precisión	Mon parcours de précision	Mein Präzisionsparcours	我的精准路线	مساري الدقيق	精密コース
