# key	pt-PT	en	es	fr	de	zh-Hans	ar	ja
menu.pause	Em pausa	Paused	En pausa	En pause	Pausiert	已暂停	إيقاف مؤقت	一時停止
menu.effects	Efeitos visuais: {value}	Visual effects: {value}	Efectos visuales: {value}	Effets visuels : {value}	Bildeffekte: {value}	视觉特效：{value}	المؤثرات البصرية: {value}	視覚効果：{value}
menu.effects_on	ligados	on	activados	activés	ein	开启	تشغيل	オン
menu.effects_low	reduzidos	reduced	reducidos	réduits	reduziert	降低	مخففة	軽減
menu.controls	Configurar comandos (F3)	Configure controls (F3)	Configurar controles (F3)	Configurer les commandes (F3)	Steuerung einstellen (F3)	设置按键 (F3)	ضبط عناصر التحكم (F3)	操作設定 (F3)
menu.back	Voltar	Back	Volver	Retour	Zurück	返回	رجوع	戻る
menu.cancel	Cancelar	Cancel	Cancelar	Annuler	Abbrechen	取消	إلغاء	キャンセル
menu.save_quit	Guardar e sair	Save and exit	Guardar y salir	Sauvegarder et quitter	Speichern und beenden	保存并退出	حفظ وخروج	保存して終了
menu.quit_unsaved	Sair sem guardar	Exit without saving	Salir sin guardar	Quitter sans sauvegarder	Ohne Speichern beenden	不保存退出	خروج دون حفظ	保存せず終了
save.present	Gravação: nível {current} / {total}	Save: level {current} / {total}	Partida: nivel {current} / {total}	Sauvegarde : niveau {current} / {total}	Spielstand: Level {current} / {total}	存档：关卡 {current} / {total}	الحفظ: المستوى {current} / {total}	セーブ：レベル {current} / {total}
save.invalid	Sem gravação válida	No valid save	No hay una partida válida	Aucune sauvegarde valide	Kein gültiger Spielstand	没有有效存档	لا توجد لعبة محفوظة صالحة	有効なセーブがありません
save.missing	Ainda não existe gravação	No saved game yet	Todavía no hay partida guardada	Aucune sauvegarde pour l'instant	Noch kein Spielstand vorhanden	尚无存档	لا توجد لعبة محفوظة بعد	セーブはまだありません
save.done	Progresso guardado. Retoma no checkpoint com vida completa.	Progress saved. Resume at the checkpoint with full health.	Progreso guardado. Vuelve al punto de control con toda la vida.	Progression sauvegardée. Reprenez au point de contrôle avec tous vos points de vie.	Fortschritt gespeichert. Am Kontrollpunkt mit voller Gesundheit fortsetzen.	进度已保存。可在检查点满血继续。	حُفظ التقدم. استأنف عند نقطة الحفظ بصحة كاملة.	進行状況を保存しました。チェックポイントから体力満タンで再開できます。
save.failed	Não foi possível guardar.	Could not save progress.	No se pudo guardar el progreso.	Impossible de sauvegarder.	Fortschritt konnte nicht gespeichert werden.	无法保存进度。	تعذّر حفظ التقدم.	保存できませんでした。
load.failed	Não foi possível continuar a gravação.	Could not load the saved game.	No se pudo cargar la partida.	Impossible de charger la sauvegarde.	Spielstand konnte nicht geladen werden.	无法加载存档。	تعذّر تحميل اللعبة المحفوظة.	セーブを読み込めませんでした。
load.done	Campanha retomada no checkpoint. Vida reposta.	Campaign resumed at the checkpoint. Health restored.	Campaña reanudada en el punto de control. Vida restaurada.	Campagne reprise au point de contrôle. Vie restaurée.	Kampagne am Kontrollpunkt fortgesetzt. Gesundheit wiederhergestellt.	已从检查点继续战役。生命值已恢复。	استؤنفت الحملة من نقطة الحفظ واستُعيدت الصحة.	チェックポイントからキャンペーンを再開しました。体力を回復しました。
confirm.new	Reiniciar a campanha e substituir a gravação compatível?	Restart the campaign and replace the existing save?	¿Reiniciar la campaña y sustituir la partida guardada?	Recommencer la campagne et remplacer la sauvegarde existante ?	Kampagne neu starten und bestehenden Spielstand ersetzen?	重新开始战役并覆盖现有存档？	هل تريد إعادة بدء الحملة واستبدال اللعبة المحفوظة؟	キャンペーンを最初からやり直し、既存のセーブを上書きしますか？
confirm.load	Carregar a gravação e descartar alterações não guardadas?	Load the saved game and discard unsaved progress?	¿Cargar la partida y descartar el progreso sin guardar?	Charger la sauvegarde et perdre la progression non sauvegardée ?	Spielstand laden und ungespeicherten Fortschritt verwerfen?	加载存档并放弃未保存的进度？	هل تريد تحميل اللعبة المحفوظة وإهمال التقدم غير المحفوظ؟	セーブを読み込み、未保存の進行状況を破棄しますか？
campaign.counter	CAMPANHA / {current} DE {total} / {name}	CAMPAIGN / {current} OF {total} / {name}	CAMPAÑA / {current} DE {total} / {name}	CAMPAGNE / {current} SUR {total} / {name}	KAMPAGNE / {current} VON {total} / {name}	战役 / {current} / {total} / {name}	الحملة / {current} من {total} / {name}	キャンペーン / {current} / {total} / {name}
campaign.complete	Campanha concluída!	Campaign complete!	¡Campaña completada!	Campagne terminée !	Kampagne abgeschlossen!	战役完成！	اكتملت الحملة!	キャンペーンクリア！
level.complete	Nível concluído!	Level complete!	¡Nivel completado!	Niveau terminé !	Level abgeschlossen!	关卡完成！	اكتمل المستوى!	レベルクリア！
campaign.totals	TOTAL: {shots} tiros · {deaths} mortes · {elapsed}s	TOTAL: {shots} shots · {deaths} deaths · {elapsed}s	TOTAL: {shots} disparos · {deaths} muertes · {elapsed}s	TOTAL : {shots} tirs · {deaths} morts · {elapsed}s	GESAMT: {shots} Schüsse · {deaths} Tode · {elapsed}s	总计：{shots} 次射击 · {deaths} 次死亡 · {elapsed}秒	الإجمالي: {shots} طلقة · {deaths} وفاة · {elapsed} ث	合計：射撃 {shots} · 死亡 {deaths} · {elapsed}秒
campaign.restart	F2: recomeçar a campanha	F2: restart campaign	F2: reiniciar campaña	F2 : recommencer la campagne	F2: Kampagne neu starten	F2：重新开始战役	F2: إعادة بدء الحملة	F2：キャンペーンをやり直す
campaign.next_hint	[Enter] próximo nível · melhorias e kits conservados	[Enter] next level · upgrades and kits carry over	[Enter] siguiente nivel · conservas mejoras y botiquines	[Entrée] niveau suivant · améliorations et kits conservés	[Enter] nächstes Level · Verbesserungen und Kits bleiben erhalten	[回车] 下一关 · 保留升级和医疗包	[Enter] المستوى التالي · تُحفظ الترقيات وحقائب العلاج	[Enter] 次のレベル · 強化と回復キットは引き継がれます
campaign.next	Próximo: {name}	Next: {name}	Siguiente: {name}	Suivant : {name}	Nächstes Level: {name}	下一关：{name}	التالي: {name}	次：{name}
map.operation	Operação Aurora	Operation Aurora	Operación Aurora	Opération Aurora	Operation Aurora	极光行动	عملية أورورا	オーロラ作戦
map.cargo	Fábrica de Carga	Cargo Factory	Fábrica de Carga	Usine de fret	Frachtfabrik	货运工厂	مصنع الشحن	貨物工場
map.courtyard	Pátio do Guardião	Guardian's Courtyard	Patio del Guardián	Cour du Gardien	Hof des Wächters	守卫庭院	ساحة الحارس	守護者の中庭
map.duel	Duelo — Pátio do Guardião	Duel — Guardian's Courtyard	Duelo — Patio del Guardián	Duel — Cour du Gardien	Duell — Hof des Wächters	决斗——守卫庭院	مبارزة — ساحة الحارس	決闘 — 守護者の中庭
map.escape	Fuga da Estação	Escape from the Station	Huida de la estación	Fuite de la station	Flucht aus der Station	逃离空间站	الهروب من المحطة	ステーションからの脱出
map.lab	Laboratório Esquecido	Forgotten Laboratory	Laboratorio Olvidado	Laboratoire oublié	Vergessenes Labor	被遗忘的实验室	المختبر المنسي	忘れられた研究所
map.horizons	Novos Horizontes	New Horizons	Nuevos Horizontes	Nouveaux Horizons	Neue Horizonte	新天地	آفاق جديدة	新たな地平
map.bastion	Bastião de Entrada	Entrance Bastion	Bastión de Entrada	Bastion d'entrée	Eingangsbastion	入口堡垒	حصن المدخل	入口の砦
map.gardens	Jardins Suspensos	Hanging Gardens	Jardines Colgantes	Jardins suspendus	Hängende Gärten	空中花园	الحدائق المعلقة	空中庭園
map.conduit	Conduta Glacial	Glacial Conduit	Conducto Glacial	Conduite glaciale	Eiskanal	冰川管道	القناة الجليدية	氷河の導管
map.reactor	Laboratório do Reator	Reactor Laboratory	Laboratorio del Reactor	Laboratoire du réacteur	Reaktorlabor	反应堆实验室	مختبر المفاعل	原子炉研究所
map.expedition	Expedição Aurora	Aurora Expedition	Expedición Aurora	Expédition Aurora	Aurora-Expedition	极光远征	بعثة أورورا	オーロラ探検隊
map.odyssey_guardian	Odisseia Aurora — O Guardião	Aurora Odyssey — The Guardian	Odisea Aurora — El Guardián	Odyssée Aurora — Le Gardien	Aurora-Odyssee — Der Wächter	极光奥德赛——守卫	ملحمة أورورا — الحارس	オーロラ・オデッセイ — 守護者
map.odyssey_horizons	Odisseia Aurora — Novos Horizontes	Aurora Odyssey — New Horizons	Odisea Aurora — Nuevos Horizontes	Odyssée Aurora — Nouveaux Horizons	Aurora-Odyssee — Neue Horizonte	极光奥德赛——新天地	ملحمة أورورا — آفاق جديدة	オーロラ・オデッセイ — 新たな地平
map.orbital	Oficina Orbital	Orbital Workshop	Taller Orbital	Atelier orbital	Orbitalwerkstatt	轨道工坊	ورشة المدار	軌道工房
map.palace	Palácio das Falésias	Cliff Palace	Palacio de los Acantilados	Palais des falaises	Klippenpalast	悬崖宫殿	قصر المنحدرات	断崖の宮殿
map.valley	Vale das Três Luas	Valley of Three Moons	Valle de las Tres Lunas	Vallée des Trois Lunes	Tal der drei Monde	三月之谷	وادي الأقمار الثلاثة	三つの月の谷
map.odyssey	Odisseia Aurora	Aurora Odyssey	Odisea Aurora	Odyssée Aurora	Aurora-Odyssee	极光奥德赛	ملحمة أورورا	オーロラ・オデッセイ
map.storage	Armazém de Abastecimento	Supply Warehouse	Almacén de Suministros	Entrepôt de ravitaillement	Versorgungslager	补给仓库	مستودع الإمدادات	補給倉庫
map.security	Posto de Segurança	Security Post	Puesto de Seguridad	Poste de sécurité	Sicherheitsposten	安全哨所	نقطة الأمن	保安所
map.command	Núcleo de Comando	Command Core	Núcleo de Mando	Centre de commande	Kommandozentrale	指挥核心	مركز القيادة	司令中枢
map.flooded	Torre Inundada	Flooded Tower	Torre Inundada	Tour inondée	Überfluteter Turm	水淹之塔	البرج المغمور	水没した塔
literal.orbital_intro	BASE ORBITAL · MONTA O FOGUETÃO, ABASTECE E PARTE	ORBITAL BASE · ASSEMBLE, FUEL AND LAUNCH THE ROCKET	BASE ORBITAL · MONTA, REPON Y LANZA EL COHETE	BASE ORBITALE · ASSEMBLE, RAVITAILLE ET DÉCOLLE	ORBITALBASIS · RAKETE BAUEN, BETANKEN UND STARTEN	轨道基地 · 组装火箭、加注燃料并出发	القاعدة المدارية · ركّب الصاروخ وزوّده بالوقود وانطلق	軌道基地 · ロケットを組み立て、燃料を入れて発進
literal.orbital_help	Mantém SALTAR para voar. Transporta uma carga de cada vez. [E] entregar / partir.	Hold JUMP to fly. Carry one item at a time. [E] deliver / launch.	Mantén SALTAR para volar. Lleva una pieza cada vez. [E] entregar / partir.	Maintiens SAUTER pour voler. Porte un objet à la fois. [E] livrer / partir.	SPRINGEN halten zum Fliegen. Jeweils ein Teil tragen. [E] abgeben / starten.	按住跳跃可飞行。每次携带一件货物。[E] 交付 / 出发。	اضغط مطولًا على القفز للطيران. احمل قطعة واحدة كل مرة. [E] للتسليم أو الانطلاق.	ジャンプ長押しで飛行。一度に運べるのは一つ。[E] で運ぶ / 出発。
literal.fuel_hint	Recolhe combustível: a cor âmbar sobe no foguetão.	Collect fuel: the amber fill rises in the rocket.	Recoge combustible: el color ámbar sube por el cohete.	Récupère du carburant : la jauge orange monte dans la fusée.	Treibstoff sammeln: Die bernsteinfarbene Füllung steigt in der Rakete.	收集燃料：火箭中的琥珀色液面会上升。	اجمع الوقود: يرتفع اللون الكهرماني في الصاروخ.	燃料を集めよう：ロケット内の琥珀色が上昇します。
literal.launch	RUMO AO PLANETA AURORA…	TO PLANET AURORA…	RUMBO AL PLANETA AURORA…	EN ROUTE VERS LA PLANÈTE AURORA…	AUF ZUM PLANETEN AURORA…	前往极光星球……	إلى كوكب أورورا…	オーロラ惑星へ……
literal.ledge	Aproxima-te de uma borda no ar para agarrar. SALTAR / [E]: subir. BAIXO: largar.	Approach a ledge in the air to grab it. JUMP / [E]: climb. DOWN: drop.	Acércate a un borde en el aire para agarrarte. SALTAR / [E]: subir. ABAJO: soltarse.	Approche un rebord en l'air pour t'y accrocher. SAUTER / [E] : monter. BAS : lâcher.	In der Luft eine Kante greifen. SPRINGEN / [E]: hochziehen. RUNTER: loslassen.	在空中靠近边缘即可抓住。跳跃 / [E]：攀上。下：松开。	اقترب من الحافة في الهواء للتشبث بها. القفز / [E]: تسلق. للأسفل: إفلات.	空中で足場の縁に近づくとつかまります。ジャンプ / [E]：登る。下：離す。
literal.valley	Explora o vale e recolhe todos os cristais. A câmara acompanha-te.	Explore the valley and collect every crystal. The camera follows you.	Explora el valle y recoge todos los cristales. La cámara te sigue.	Explore la vallée et ramasse tous les cristaux. La caméra te suit.	Erkunde das Tal und sammle alle Kristalle. Die Kamera folgt dir.	探索山谷并收集所有水晶。镜头会跟随你。	استكشف الوادي واجمع كل البلورات. تتبعك الكاميرا.	谷を探索してすべてのクリスタルを集めよう。カメラが追従します。
literal.controls_hint	F3: comandos · R: checkpoint · F2: recomeçar	F3: controls · R: checkpoint · F2: restart	F3: controles · R: punto de control · F2: reiniciar	F3 : commandes · R : point de contrôle · F2 : recommencer	F3: Steuerung · R: Kontrollpunkt · F2: Neustart	F3：操作 · R：检查点 · F2：重来	F3: التحكم · R: نقطة الحفظ · F2: إعادة البدء	F3：操作 · R：チェックポイント · F2：やり直す
literal.adventure	PLATFORM2D / AVENTURA	PLATFORM2D / ADVENTURE	PLATFORM2D / AVENTURA	PLATFORM2D / AVENTURE	PLATFORM2D / ABENTEUER	PLATFORM2D / 冒险	PLATFORM2D / المغامرة	PLATFORM2D / アドベンチャー
literal.cargo_pickup	Carga recolhida. Leva-a ao foguetão e prime [E].	Cargo collected. Bring it to the rocket and press [E].	Carga recogida. Llévala al cohete y pulsa [E].	Objet récupéré. Apporte-le à la fusée et appuie sur [E].	Teil aufgenommen. Zur Rakete bringen und [E] drücken.	已取得货物。带到火箭旁按 [E]。	حُمِلت القطعة. خذها إلى الصاروخ واضغط [E].	部品を入手。ロケットに運び [E] を押そう。
literal.part_installed	Peça instalada.	Part installed.	Pieza instalada.	Pièce installée.	Teil eingebaut.	部件已安装。	رُكّبت القطعة.	部品を取り付けました。
literal.assembly_done	Montagem concluída. Recolhe o combustível.	Assembly complete. Collect fuel.	Montaje completo. Recoge combustible.	Assemblage terminé. Récupère du carburant.	Montage abgeschlossen. Treibstoff sammeln.	组装完成。收集燃料。	اكتمل التجميع. اجمع الوقود.	組み立て完了。燃料を集めよう。
literal.fuel_delivered	Combustível entregue.	Fuel delivered.	Combustible entregado.	Carburant livré.	Treibstoff abgeliefert.	燃料已交付。	سُلّم الوقود.	燃料を届けました。
literal.find_parts	Procura as peças.	Find the rocket parts.	Busca las piezas.	Cherche les pièces.	Suche die Raketenteile.	寻找火箭部件。	ابحث عن القطع.	部品を探そう。
literal.need_fuel	Ainda falta combustível.	More fuel is needed.	Aún falta combustible.	Il manque du carburant.	Es fehlt noch Treibstoff.	还需要燃料。	ما زلت بحاجة إلى وقود.	燃料が足りません。
literal.need_objectives	Ainda faltam cristais ou alvos da missão.	Crystals or mission targets are still missing.	Aún faltan cristales u objetivos de la misión.	Il manque encore des cristaux ou des cibles.	Kristalle oder Missionsziele fehlen noch.	仍有水晶或任务目标未完成。	ما زالت بلورات أو أهداف المهمة ناقصة.	クリスタルかミッション目標が残っています。
rocket.fuel	COMB. {current}/{total}	FUEL {current}/{total}	COMB. {current}/{total}	CARB. {current}/{total}	TREIBST. {current}/{total}	燃料 {current}/{total}	وقود {current}/{total}	燃料 {current}/{total}
rocket.status	PEÇAS {parts}/{parts_total}   COMBUSTÍVEL {fuel}/{fuel_total}	PARTS {parts}/{parts_total}   FUEL {fuel}/{fuel_total}	PIEZAS {parts}/{parts_total}   COMBUSTIBLE {fuel}/{fuel_total}	PIÈCES {parts}/{parts_total}   CARBURANT {fuel}/{fuel_total}	TEILE {parts}/{parts_total}   TREIBSTOFF {fuel}/{fuel_total}	部件 {parts}/{parts_total}   燃料 {fuel}/{fuel_total}	قطع {parts}/{parts_total}   وقود {fuel}/{fuel_total}	部品 {parts}/{parts_total}   燃料 {fuel}/{fuel_total}
rocket.next	Seguinte: {part} · recolhe a peça assinalada.	Next: {part} · collect the marked part.	Siguiente: {part} · recoge la pieza marcada.	Suivant : {part} · récupère la pièce indiquée.	Als Nächstes: {part} · markiertes Teil einsammeln.	下一件：{part} · 收集标记的部件。	التالي: {part} · اجمع القطعة المحددة.	次：{part} · 印の付いた部品を集めよう。
hud.crystals_health	CRISTAIS {current}/{total}   VIDA {health}/5	CRYSTALS {current}/{total}   HEALTH {health}/5	CRISTALES {current}/{total}   VIDA {health}/5	CRISTAUX {current}/{total}   VIE {health}/5	KRISTALLE {current}/{total}   LEBEN {health}/5	水晶 {current}/{total}   生命 {health}/5	بلورات {current}/{total}   صحة {health}/5	クリスタル {current}/{total}   体力 {health}/5
literal.exit	SAÍDA	EXIT	SALIDA	SORTIE	AUSGANG	出口	المخرج	出口
literal.blocked	BLOQUEADA	LOCKED	BLOQUEADA	VERROUILLÉE	GESPERRT	已锁定	مغلَق	ロック中
literal.motor	Motor	Engine	Motor	Moteur	Motor	发动机	المحرك	エンジン
literal.tank	Depósito	Tank	Depósito	Réservoir	Tank	燃料箱	خزان الوقود	燃料タンク
literal.cockpit	Cockpit	Cockpit	Cabina	Cockpit	Cockpit	驾驶舱	قمرة القيادة	コックピット
literal.rocket	Foguetão	Rocket	Cohete	Fusée	Rakete	火箭	الصاروخ	ロケット
literal.mixed	MISTA: destrói os alvos e recolhe todos os cristais.	MIXED: destroy targets and collect every crystal.	MIXTA: destruye los objetivos y recoge todos los cristales.	MIXTE : détruis les cibles et ramasse tous les cristaux.	GEMISCHT: Ziele zerstören und alle Kristalle sammeln.	混合任务：摧毁目标并收集所有水晶。	مختلطة: دمّر الأهداف واجمع كل البلورات.	複合：標的を破壊し、すべてのクリスタルを集めよう。
literal.collect	RECOLHA: apanha todos os cristais para abrir a saída.	COLLECT: gather every crystal to open the exit.	RECOGIDA: reúne todos los cristales para abrir la salida.	COLLECTE : ramasse tous les cristaux pour ouvrir la sortie.	SAMMELN: Alle Kristalle öffnen den Ausgang.	收集：取得所有水晶以打开出口。	جمع: اجمع كل البلورات لفتح المخرج.	収集：すべてのクリスタルを集めると出口が開きます。
literal.combat	COMBATE: destrói todos os alvos para abrir a saída.	COMBAT: destroy every target to open the exit.	COMBATE: destruye todos los objetivos para abrir la salida.	COMBAT : détruis toutes les cibles pour ouvrir la sortie.	KAMPF: Alle Ziele zerstören, um den Ausgang zu öffnen.	战斗：摧毁所有目标以打开出口。	قتال: دمّر كل الأهداف لفتح المخرج.	戦闘：すべての標的を破壊すると出口が開きます。
literal.cross	TRAVESSIA: chega à saída em segurança.	CROSSING: reach the exit safely.	TRAVESÍA: llega a la salida a salvo.	TRAVERSÉE : atteins la sortie sans danger.	DURCHQUERUNG: Erreiche den Ausgang sicher.	穿越：安全抵达出口。	عبور: صِل إلى المخرج بسلام.	移動：無事に出口へたどり着こう。
literal.explore_platforms	Explora as plataformas. Os cristais não ocupam espaço no inventário.	Explore the platforms. Crystals do not use inventory space.	Explora las plataformas. Los cristales no ocupan espacio en el inventario.	Explore les plateformes. Les cristaux ne prennent pas de place dans l'inventaire.	Erkunde die Plattformen. Kristalle belegen keinen Inventarplatz.	探索平台。水晶不占背包空间。	استكشف المنصات. لا تشغل البلورات مساحة في المخزون.	足場を探索しよう。クリスタルは持ち物の容量を使いません。
literal.use_cover	Usa as coberturas, controla os disparos e procura a saída.	Use cover, manage your shots and find the exit.	Usa las coberturas, controla tus disparos y busca la salida.	Utilise les abris, économise tes tirs et cherche la sortie.	Nutze Deckung, teile Schüsse ein und finde den Ausgang.	利用掩体，控制射击并寻找出口。	استخدم الغطاء وتحكّم في إطلاق النار وابحث عن المخرج.	遮蔽物を使い、射撃を調整して出口を探そう。
literal.safe	Setor seguro	Sector secure	Sector seguro	Secteur sécurisé	Sektor gesichert	区域安全	القطاع آمن	区域の安全を確保
literal.pause_help	P para continuar · N para avançar	P to resume · N to step	P para continuar · N para avanzar	P pour reprendre · N pour avancer	P: fortsetzen · N: Schritt	P 继续 · N 单步	P للاستئناف · N للتقدم خطوة	P 再開 · N コマ送り
literal.pickup_crystal	Cristal de missão recolhido.	Mission crystal collected.	Cristal de misión recogido.	Cristal de mission récupéré.	Missionskristall gesammelt.	已收集任务水晶。	جُمعت بلورة المهمة.	ミッションのクリスタルを入手。
literal.used_kit	Kit usado: até 2 pontos de vida recuperados.	Kit used: up to 2 health restored.	Botiquín usado: recuperas hasta 2 puntos de vida.	Kit utilisé : jusqu'à 2 points de vie restaurés.	Kit benutzt: bis zu 2 Lebenspunkte wiederhergestellt.	已使用医疗包：恢复最多 2 点生命。	استُخدمت حقيبة العلاج: استعدت حتى نقطتين من الصحة.	回復キット使用：体力を最大 2 回復。
literal.full_health	Vida completa: kit conservado.	Full health: kit kept.	Vida completa: conservas el botiquín.	Vie au maximum : kit conservé.	Volle Gesundheit: Kit behalten.	生命值已满：保留医疗包。	الصحة كاملة: احتفظت بحقيبة العلاج.	体力満タン：キットは温存しました。
literal.no_kits	Não tens kits médicos.	You have no medical kits.	No tienes botiquines.	Tu n'as pas de kits médicaux.	Du hast keine Heilsets.	没有医疗包。	ليس لديك حقائب علاج.	回復キットがありません。
literal.ranged_help	F3: comandos  |  R: checkpoint  |  F2: recomeçar	F3: controls  |  R: checkpoint  |  F2: restart	F3: controles  |  R: punto de control  |  F2: reiniciar	F3 : commandes  |  R : point de contrôle  |  F2 : recommencer	F3: Steuerung  |  R: Kontrollpunkt  |  F2: Neustart	F3：操作  |  R：检查点  |  F2：重来	F3: التحكم  |  R: نقطة الحفظ  |  F2: إعادة البدء	F3：操作  |  R：チェックポイント  |  F2：やり直す
hud.targets_crystals	ALVOS {targets}/{target_total}  CRISTAIS {crystals}/{crystal_total}	TARGETS {targets}/{target_total}  CRYSTALS {crystals}/{crystal_total}	OBJETIVOS {targets}/{target_total}  CRISTALES {crystals}/{crystal_total}	CIBLES {targets}/{target_total}  CRISTAUX {crystals}/{crystal_total}	ZIELE {targets}/{target_total}  KRISTALLE {crystals}/{crystal_total}	目标 {targets}/{target_total}  水晶 {crystals}/{crystal_total}	أهداف {targets}/{target_total}  بلورات {crystals}/{crystal_total}	標的 {targets}/{target_total}  クリスタル {crystals}/{crystal_total}
hud.targets_shots	ALVOS {targets}/{target_total}   TIROS {shots}	TARGETS {targets}/{target_total}   SHOTS {shots}	OBJETIVOS {targets}/{target_total}   DISPAROS {shots}	CIBLES {targets}/{target_total}   TIRS {shots}	ZIELE {targets}/{target_total}   SCHÜSSE {shots}	目标 {targets}/{target_total}   射击 {shots}	أهداف {targets}/{target_total}   طلقات {shots}	標的 {targets}/{target_total}   射撃 {shots}
hud.inventory	INVENTÁRIO  Dano +{power}/3   Cadência {rapid}/2   Kits {kits}/3	INVENTORY  Damage +{power}/3   Fire rate {rapid}/2   Kits {kits}/3	INVENTARIO  Daño +{power}/3   Cadencia {rapid}/2   Botiquines {kits}/3	INVENTAIRE  Dégâts +{power}/3   Cadence {rapid}/2   Kits {kits}/3	INVENTAR  Schaden +{power}/3   Feuerrate {rapid}/2   Kits {kits}/3	背包  伤害 +{power}/3   射速 {rapid}/2   医疗包 {kits}/3	المخزون  الضرر +{power}/3   معدل النار {rapid}/2   حقائب العلاج {kits}/3	持ち物  攻撃力 +{power}/3   連射 {rapid}/2   キット {kits}/3
hud.weapon	Arma: dano {damage} · intervalo {interval}s   [H] usar kit (+2 vida)	Weapon: damage {damage} · interval {interval}s   [H] use kit (+2 health)	Arma: daño {damage} · intervalo {interval}s   [H] usar botiquín (+2 vida)	Arme : dégâts {damage} · intervalle {interval}s   [H] kit (+2 vie)	Waffe: Schaden {damage} · Intervall {interval}s   [H] Kit (+2 Leben)	武器：伤害 {damage} · 间隔 {interval}秒   [H] 使用医疗包（+2 生命）	السلاح: الضرر {damage} · الفاصل {interval} ث   [H] حقيبة علاج (+2 صحة)	武器：ダメージ {damage} · 間隔 {interval}秒   [H] キット使用（体力 +2）
hud.unarmed	Disparos desativados nesta sala   [H] usar kit (+2 vida)	Shooting disabled in this room   [H] use kit (+2 health)	Disparos desactivados en esta sala   [H] usar botiquín (+2 vida)	Tir désactivé ici   [H] kit (+2 vie)	Schießen in diesem Raum deaktiviert   [H] Kit (+2 Leben)	本房间无法射击   [H] 使用医疗包（+2 生命）	إطلاق النار معطل هنا   [H] حقيبة علاج (+2 صحة)	この部屋では射撃不可   [H] キット使用（体力 +2）
