# key, pt-PT, en, es, fr, de, zh-Hans, ar, ja (tab separated)
game_title	RESGATE NA ESTAÇÃO	RESCUE AT THE STATION	RESCATE EN LA ESTACIÓN	SAUVETAGE À LA STATION	RETTUNG AUF DER STATION	空间站救援	الإنقاذ في المحطة	宇宙ステーション救出作戦
resumed	Retomado no checkpoint.	Resumed at checkpoint.	Reanudado en el punto de control.	Reprise au point de contrôle.	Am Kontrollpunkt fortgesetzt.	已从检查点继续。	تمت المتابعة من نقطة الحفظ.	チェックポイントから再開しました。
sector	Setor concluído	Sector complete	Sector completado	Secteur terminé	Sektor abgeschlossen	区域完成	اكتمل القطاع	区域クリア
ending	Toda a equipa está a salvo.	The whole team is safe.	Todo el equipo está a salvo.	Toute l’équipe est en sécurité.	Das ganze Team ist in Sicherheit.	全队已安全获救。	الفريق بأكمله بأمان.	仲間は全員無事だ。
pause	Missão em pausa	Mission paused	Misión en pausa	Mission en pause	Mission pausiert	任务已暂停	المهمة متوقفة مؤقتا	ミッション一時停止
new	Começar uma missão nova?	Start a new mission?	¿Comenzar una misión nueva?	Commencer une nouvelle mission ?	Neue Mission starten?	开始新任务？	بدء مهمة جديدة؟	新しいミッションを始めますか？
load	Retomar a gravação?	Resume the save?	¿Reanudar la partida guardada?	Reprendre la sauvegarde ?	Spielstand laden?	读取存档？	متابعة اللعبة المحفوظة؟	セーブデータを読み込みますか？
briefing0	O cais perdeu energia. Recupera o equipamento de emergência.	The dock lost power. Recover the emergency equipment.	El muelle perdió energía. Recupera el equipo de emergencia.	Le quai n’a plus de courant. Récupérez le matériel de secours.	Am Dock ist der Strom ausgefallen. Berge die Notfallausrüstung.	码头断电了。回收应急装备。	انقطعت الطاقة عن الرصيف. استعد معدات الطوارئ.	ドックが停電した。緊急装備を回収しよう。
briefing1	O reservatório inundou. Ativa as válvulas e encontra a passagem.	The reservoir flooded. Activate the valves and find the passage.	El depósito se inundó. Activa las válvulas y encuentra el paso.	Le réservoir est inondé. Activez les vannes et trouvez le passage.	Der Wassertank ist überflutet. Öffne die Ventile und finde den Durchgang.	蓄水池被淹没了。启动阀门，找到通道。	غمرت المياه الخزان. شغل الصمامات واعثر على الممر.	貯水槽が浸水した。バルブを作動させ、通路を探そう。
briefing2	A evacuação começou. Chega à nave antes da frente de calor.	Evacuation has started. Reach the ship before the heat front.	La evacuación ha comenzado. Llega a la nave antes del frente de calor.	L’évacuation a commencé. Atteignez le vaisseau avant la vague de chaleur.	Die Evakuierung läuft. Erreiche das Schiff vor der Hitzewelle.	撤离已经开始。在热浪到来前赶到飞船。	بدأ الإخلاء. اصل إلى السفينة قبل موجة الحرارة.	避難が始まった。熱波が来る前に宇宙船へたどり着こう。
air	AR	AIR	AIRE	AIR	LUFT	空气	هواء	空気
exit	SAÍDA	EXIT	SALIDA	SORTIE	AUSGANG	出口	مخرج	出口
oxygen	OXIGÉNIO {value}s	OXYGEN {value}s	OXÍGENO {value}s	OXYGÈNE {value}s	SAUERSTOFF {value}s	氧气 {value}秒	الأكسجين {value} ثانية	酸素 {value}秒
threat	AMEAÇA A {distance}	THREAT AT {distance}	AMENAZA A {distance}	DANGER À {distance}	GEFAHR IN {distance}	危险距离 {distance}	الخطر على بعد {distance}	危険まで {distance}
equipment_status	EQUIPAMENTO {count}/2	EQUIPMENT {count}/2	EQUIPO {count}/2	ÉQUIPEMENT {count}/2	AUSRÜSTUNG {count}/2	装备 {count}/2	المعدات {count}/2	装備 {count}/2
level0	Cais de Emergência	Emergency Dock	Muelle de Emergencia	Quai de secours	Notfalldock	应急码头	رصيف الطوارئ	緊急ドック
level1	Reservatório	Reservoir	Depósito	Réservoir	Wassertank	蓄水池	الخزان	貯水槽
level2	Última Nave	Last Ship	Última Nave	Dernier vaisseau	Letztes Schiff	最后的飞船	السفينة الأخيرة	最後の宇宙船
shortcuts	{pause}: pausa · {save}: guardar · {load}: carregar · {restart}: checkpoint	{pause}: pause · {save}: save · {load}: load · {restart}: checkpoint	{pause}: pausa · {save}: guardar · {load}: cargar · {restart}: punto de control	{pause} : pause · {save} : sauver · {load} : charger · {restart} : point de contrôle	{pause}: Pause · {save}: speichern · {load}: laden · {restart}: Kontrollpunkt	{pause}：暂停 · {save}：保存 · {load}：读取 · {restart}：检查点	{pause}: إيقاف · {save}: حفظ · {load}: تحميل · {restart}: نقطة الحفظ	{pause}：一時停止 · {save}：保存 · {load}：読込 · {restart}：チェックポイント
footer	Setas e {confirm} · Platform2D · edição 1.0	Arrows and {confirm} · Platform2D · release 1.0	Flechas y {confirm} · Platform2D · edición 1.0	Flèches et {confirm} · Platform2D · édition 1.0	Pfeiltasten und {confirm} · Platform2D · Version 1.0	方向键与 {confirm} · Platform2D · 版本 1.0	الأسهم و {confirm} · Platform2D · الإصدار 1.0	矢印キーと {confirm} · Platform2D · バージョン 1.0
summary	Resgate concluído em {time}s · {deaths} reaparecimentos.	Rescue completed in {time}s · {deaths} respawns.	Rescate completado en {time}s · {deaths} reapariciones.	Sauvetage terminé en {time}s · {deaths} réapparitions.	Rettung in {time}s abgeschlossen · {deaths} Wiedereinstiege.	救援完成，用时 {time}秒 · 重生 {deaths}次。	اكتمل الإنقاذ في {time} ثانية · مرات العودة: {deaths}.	救出完了：{time}秒 · リスポーン：{deaths}回。
next_sector	O próximo setor precisa de ti.	The next sector needs you.	El siguiente sector te necesita.	Le prochain secteur a besoin de vous.	Der nächste Sektor braucht dich.	下一个区域需要你。	القطاع التالي يحتاج إليك.	次の区域で仲間が待っている。
pause_help	{save}: guardar · {load}: carregar · {pause} ou {confirm}: retomar.	{save}: save · {load}: load · {pause} or {confirm}: resume.	{save}: guardar · {load}: cargar · {pause} o {confirm}: continuar.	{save} : sauver · {load} : charger · {pause} ou {confirm} : reprendre.	{save}: speichern · {load}: laden · {pause} oder {confirm}: fortsetzen.	{save}：保存 · {load}：读取 · {pause} 或 {confirm}：继续。	{save}: حفظ · {load}: تحميل · {pause} أو {confirm}: متابعة.	{save}：保存 · {load}：読込 · {pause} または {confirm}：再開。
confirm_help	{confirm}: confirmar · {pause}: cancelar. O progresso atual será substituído.	{confirm}: confirm · {pause}: cancel. Current progress will be replaced.	{confirm}: confirmar · {pause}: cancelar. Se sustituirá el progreso actual.	{confirm} : confirmer · {pause} : annuler. La progression sera remplacée.	{confirm}: bestätigen · {pause}: abbrechen. Der Fortschritt wird ersetzt.	{confirm}：确认 · {pause}：取消。当前进度将被替换。	{confirm}: تأكيد · {pause}: إلغاء. سيستبدل التقدم الحالي.	{confirm}：確定 · {pause}：キャンセル。現在の進行状況は上書きされます。
continue_help	{confirm}: continuar	{confirm}: continue	{confirm}: continuar	{confirm} : continuer	{confirm}: weiter	{confirm}：继续	{confirm}: متابعة	{confirm}：続ける
credits	Código e arte: Miguel / colaboradores Platform2D · Pygame	Code and art: Miguel / Platform2D contributors · Pygame	Código y arte: Miguel / colaboradores de Platform2D · Pygame	Code et graphismes : Miguel / contributeurs Platform2D · Pygame	Code und Grafik: Miguel / Platform2D-Mitwirkende · Pygame	代码与美术：Miguel / Platform2D 贡献者 · Pygame	البرمجة والرسوم: Miguel / مساهمو Platform2D · Pygame	コード・アート：Miguel / Platform2D の貢献者 · Pygame
save_failed	Não foi possível guardar. Verifica o acesso à pasta de dados.	Could not save. Check access to the data folder.	No se pudo guardar. Comprueba el acceso a la carpeta de datos.	Sauvegarde impossible. Vérifiez l’accès au dossier de données.	Speichern fehlgeschlagen. Prüfe den Zugriff auf den Datenordner.	无法保存。请检查数据文件夹的访问权限。	تعذر الحفظ. تحقق من صلاحية الوصول إلى مجلد البيانات.	保存できません。データフォルダーへのアクセスを確認してください。
load_failed	Não foi possível carregar: gravação ausente, inválida ou inacessível.	Could not load: the save is missing, invalid or inaccessible.	No se pudo cargar: la partida no existe, no es válida o no es accesible.	Chargement impossible : sauvegarde absente, invalide ou inaccessible.	Laden fehlgeschlagen: Spielstand fehlt, ist ungültig oder nicht zugänglich.	无法读取：存档不存在、无效或无法访问。	تعذر التحميل: الحفظ مفقود أو غير صالح أو يتعذر الوصول إليه.	読み込めません。セーブデータが存在しないか、無効か、アクセスできません。
